Sales Person,Country,Product,Date,Amount,Boxes Shipped
Kaine Padly,New Zealand,70% Dark Bites,6/9/2024,7231.00,38
Curtice Advani,Australia,After Nines,6/10/2024,63.00,105
Husein Augar,UK,Almond Choco,6/11/2024,8309.00,166
Kaine Padly,Canada,Choco Coated Almonds,6/12/2024,3164.00,164
Roddy Speechley,UK,Peanut Butter Cubes,6/13/2024,5691.00,171
Ches Bonnell,New Zealand,Eclairs,6/14/2024,490.00,49
Brien Boise,India,85% Dark Bars,6/15/2024,18032.00,205
Brien Boise,New Zealand,Organic Choco Syrup,6/16/2024,637.00,313
Andria Kimpton,Canada,White Choc,6/17/2024,4067.00,29
Gigi Bohling,New Zealand,Orange Choco,6/18/2024,8204.00,307
Ches Bonnell,Canada,Smooth Sliky Salty,6/19/2024,9870.00,121
Husein Augar,Canada,70% Dark Bites,6/20/2024,5131.00,285
Barr Faughny,Canada,Organic Choco Syrup,6/21/2024,1141.00,205
Oby Sorrel,UK,Organic Choco Syrup,6/22/2024,7980.00,157
Van Tuxwell,New Zealand,Eclairs,6/23/2024,5229.00,182
Mallorie Waber,UK,Drinking Coco,6/24/2024,3423.00,100
Oby Sorrel,UK,Milk Bars,6/25/2024,6468.00,223
Karlen McCaffrey,New Zealand,Mint Chip Choco,6/26/2024,4326.00,61
Jehu Rudeforth,USA,Raspberry Choco,6/27/2024,7154.00,133
Kelci Walkden,UK,85% Dark Bars,6/28/2024,3997.00,228
Kelci Walkden,USA,Almond Choco,6/29/2024,5180.00,233
Marney O'Breen,Canada,Orange Choco,6/30/2024,2723.00,425
Dennison Crosswaite,India,Fruit & Nut Bars,7/1/2024,952.00,24
Brien Boise,Canada,Smooth Sliky Salty,7/2/2024,5691.00,495
Barr Faughny,Canada,Baker's Choco Chips,7/3/2024,10969.00,170
Brien Boise,India,Smooth Sliky Salty,7/4/2024,5964.00,26
Jan Morforth,Australia,Drinking Coco,7/5/2024,2821.00,24
Brien Boise,India,Spicy Special Slims,7/6/2024,1302.00,33
Van Tuxwell,UK,Eclairs,7/7/2024,5474.00,109
Wilone O'Kielt,India,Caramel Stuffed Bars,7/8/2024,4179.00,276
Jehu Rudeforth,UK,After Nines,7/9/2024,1946.00,164
Barr Faughny,Canada,White Choc,7/10/2024,4291.00,1
Gunar Cockshoot,India,Organic Choco Syrup,7/11/2024,7196.00,160
Mallorie Waber,Canada,Smooth Sliky Salty,7/12/2024,1939.00,98
Mallorie Waber,India,Eclairs,7/13/2024,10437.00,46
Rafaelita Blaksland,Australia,Raspberry Choco,7/14/2024,6916.00,259
Karlen McCaffrey,UK,50% Dark Bites,7/15/2024,3647.00,310
Kaine Padly,Australia,50% Dark Bites,7/16/2024,8995.00,78
Gigi Bohling,Australia,Eclairs,7/17/2024,7252.00,136
Oby Sorrel,India,Drinking Coco,7/18/2024,16380.00,130
Van Tuxwell,New Zealand,Baker's Choco Chips,7/19/2024,9660.00,24
Husein Augar,India,Peanut Butter Cubes,7/20/2024,4522.00,5
Andria Kimpton,Australia,Baker's Choco Chips,7/21/2024,329.00,109
Madelene Upcott,Canada,Choco Coated Almonds,7/22/2024,3458.00,294
Brien Boise,India,70% Dark Bites,7/23/2024,4641.00,413
Jehu Rudeforth,Canada,White Choc,7/24/2024,4627.00,136
Andria Kimpton,Australia,Almond Choco,7/25/2024,3192.00,175
Dotty Strutley,Canada,After Nines,7/26/2024,252.00,237
Karlen McCaffrey,USA,Eclairs,7/27/2024,868.00,125
Karlen McCaffrey,Canada,Fruit & Nut Bars,7/28/2024,210.00,16
Gunar Cockshoot,USA,85% Dark Bars,7/29/2024,7007.00,135
Dotty Strutley,New Zealand,Raspberry Choco,7/30/2024,5845.00,91
Marney O'Breen,Canada,Caramel Stuffed Bars,7/31/2024,1372.00,614
Dennison Crosswaite,India,Organic Choco Syrup,8/1/2024,8428.00,216
Camilla Castle,UK,Mint Chip Choco,8/2/2024,4977.00,317
Brien Boise,USA,70% Dark Bites,8/3/2024,1694.00,21
Madelene Upcott,Australia,99% Dark & Pure,8/4/2024,4326.00,154
Mallorie Waber,Australia,Eclairs,8/5/2024,9527.00,222
Marney O'Breen,India,99% Dark & Pure,8/6/2024,10766.00,157
Husein Augar,USA,Fruit & Nut Bars,8/7/2024,1288.00,27
Kelci Walkden,Australia,Almond Choco,8/8/2024,4879.00,350
Ches Bonnell,USA,Milk Bars,8/9/2024,2408.00,157
Jan Morforth,UK,Caramel Stuffed Bars,8/10/2024,3094.00,468
Brien Boise,New Zealand,70% Dark Bites,8/11/2024,7231.00,130
Oby Sorrel,India,85% Dark Bars,8/12/2024,8981.00,130
Kaine Padly,New Zealand,Smooth Sliky Salty,8/13/2024,7.00,518
Gigi Bohling,Australia,70% Dark Bites,8/14/2024,1372.00,105
Jan Morforth,UK,50% Dark Bites,8/15/2024,5250.00,293
Gunar Cockshoot,Canada,White Choc,8/16/2024,7560.00,15
Jehu Rudeforth,Australia,Spicy Special Slims,8/17/2024,5012.00,384
Husein Augar,UK,Baker's Choco Chips,8/18/2024,3038.00,135
Rafaelita Blaksland,New Zealand,After Nines,8/19/2024,1099.00,92
Madelene Upcott,New Zealand,Mint Chip Choco,8/20/2024,7413.00,4
Madelene Upcott,UK,70% Dark Bites,8/21/2024,5397.00,239
Barr Faughny,Australia,Organic Choco Syrup,8/22/2024,2303.00,33
Beverie Moffet,New Zealand,Drinking Coco,8/23/2024,1141.00,518
Beverie Moffet,India,Eclairs,8/24/2024,10325.00,147
Andria Kimpton,India,Eclairs,8/25/2024,2149.00,84
Gigi Bohling,UK,85% Dark Bars,8/26/2024,12362.00,94
Roddy Speechley,UK,Raspberry Choco,8/27/2024,12635.00,194
Dotty Strutley,UK,Mint Chip Choco,8/28/2024,2443.00,216
Barr Faughny,Canada,Drinking Coco,8/29/2024,6237.00,247
Oby Sorrel,USA,Milk Bars,8/30/2024,1736.00,79
Oby Sorrel,UK,Orange Choco,8/31/2024,7315.00,237
Curtice Advani,Canada,Peanut Butter Cubes,9/1/2024,4935.00,63
Gigi Bohling,India,White Choc,9/2/2024,1393.00,172
Husein Augar,Canada,Choco Coated Almonds,9/3/2024,3381.00,408
Wilone O'Kielt,India,Choco Coated Almonds,9/4/2024,2933.00,233
Wilone O'Kielt,New Zealand,Baker's Choco Chips,9/5/2024,3836.00,59
Kaine Padly,UK,Choco Coated Almonds,9/6/2024,8022.00,123
Dennison Crosswaite,New Zealand,Organic Choco Syrup,9/7/2024,371.00,229
Kelci Walkden,Canada,After Nines,9/8/2024,16702.00,198
Van Tuxwell,Australia,Baker's Choco Chips,9/9/2024,13258.00,32
Husein Augar,New Zealand,Peanut Butter Cubes,9/10/2024,2058.00,236
Kaine Padly,UK,Caramel Stuffed Bars,9/11/2024,10192.00,67
Jehu Rudeforth,UK,Drinking Coco,9/12/2024,7140.00,438
Beverie Moffet,India,Manuka Honey Choco,9/13/2024,9835.00,167
Gunar Cockshoot,UK,Choco Coated Almonds,9/14/2024,5775.00,135
Gunar Cockshoot,UK,Smooth Sliky Salty,9/15/2024,749.00,148
Camilla Castle,Canada,Orange Choco,9/16/2024,7770.00,54
Jehu Rudeforth,UK,85% Dark Bars,9/17/2024,5502.00,64
Oby Sorrel,UK,70% Dark Bites,9/18/2024,6223.00,181
Kelci Walkden,UK,99% Dark & Pure,9/19/2024,3507.00,114
Gigi Bohling,New Zealand,After Nines,9/20/2024,5600.00,181
Oby Sorrel,Australia,50% Dark Bites,9/21/2024,721.00,151
Oby Sorrel,Canada,50% Dark Bites,9/22/2024,6615.00,137
Barr Faughny,USA,White Choc,9/23/2024,7420.00,163
Rafaelita Blaksland,New Zealand,99% Dark & Pure,9/24/2024,3164.00,84
Curtice Advani,Australia,Caramel Stuffed Bars,9/25/2024,9114.00,140
Curtice Advani,New Zealand,85% Dark Bars,9/26/2024,5404.00,187
Barr Faughny,New Zealand,Smooth Sliky Salty,9/27/2024,3990.00,169
Ches Bonnell,UK,85% Dark Bars,9/28/2024,14924.00,12
Dennison Crosswaite,Australia,Drinking Coco,9/29/2024,7091.00,194
Roddy Speechley,USA,Milk Bars,9/30/2024,2807.00,252
Jan Morforth,India,After Nines,10/1/2024,6496.00,168
Gunar Cockshoot,USA,After Nines,10/2/2024,3738.00,261
Ches Bonnell,India,Orange Choco,10/3/2024,1190.00,256
Mallorie Waber,UK,Manuka Honey Choco,10/4/2024,8379.00,43
Barr Faughny,Australia,Raspberry Choco,10/5/2024,9268.00,100
Wilone O'Kielt,USA,Drinking Coco,10/6/2024,1029.00,98
Wilone O'Kielt,India,Eclairs,10/7/2024,3549.00,76
Wilone O'Kielt,India,After Nines,10/8/2024,12026.00,262
Kelci Walkden,India,99% Dark & Pure,10/9/2024,2303.00,244
Gunar Cockshoot,Canada,Spicy Special Slims,10/10/2024,13405.00,12
Madelene Upcott,Canada,Peanut Butter Cubes,10/11/2024,14763.00,113
Kaine Padly,New Zealand,Eclairs,10/12/2024,12894.00,48
Ches Bonnell,New Zealand,Drinking Coco,10/13/2024,8302.00,131
Curtice Advani,UK,Drinking Coco,10/14/2024,455.00,174
Kelci Walkden,India,Raspberry Choco,10/15/2024,8183.00,254
Dotty Strutley,Australia,Choco Coated Almonds,10/16/2024,1645.00,284
Kaine Padly,UK,50% Dark Bites,10/17/2024,3143.00,67
Roddy Speechley,Canada,Choco Coated Almonds,10/18/2024,5873.00,249
Ches Bonnell,India,50% Dark Bites,10/19/2024,11298.00,313
Oby Sorrel,Canada,Peanut Butter Cubes,10/20/2024,12425.00,167
Oby Sorrel,UK,White Choc,10/21/2024,1715.00,286
Barr Faughny,India,After Nines,10/22/2024,8190.00,109
Wilone O'Kielt,Canada,Smooth Sliky Salty,10/23/2024,4991.00,166
Rafaelita Blaksland,India,Mint Chip Choco,10/24/2024,15491.00,85
Rafaelita Blaksland,Canada,99% Dark & Pure,10/25/2024,5096.00,142
Van Tuxwell,Australia,70% Dark Bites,10/26/2024,7063.00,104
Beverie Moffet,USA,70% Dark Bites,10/27/2024,2275.00,115
Barr Faughny,Canada,Orange Choco,10/28/2024,7602.00,18
Roddy Speechley,Australia,85% Dark Bars,10/29/2024,4200.00,80
Oby Sorrel,India,Spicy Special Slims,10/30/2024,11137.00,88
Jan Morforth,UK,Manuka Honey Choco,10/31/2024,3388.00,212
Kaine Padly,Australia,After Nines,11/1/2024,6832.00,306
Wilone O'Kielt,Canada,Fruit & Nut Bars,11/2/2024,3437.00,181
Wilone O'Kielt,UK,Milk Bars,11/3/2024,301.00,65
Oby Sorrel,Canada,Fruit & Nut Bars,11/4/2024,1869.00,158
Dennison Crosswaite,USA,Baker's Choco Chips,11/5/2024,17465.00,271
Madelene Upcott,USA,Almond Choco,11/6/2024,10143.00,24
Van Tuxwell,New Zealand,50% Dark Bites,11/7/2024,3626.00,10
Karlen McCaffrey,Canada,Caramel Stuffed Bars,11/8/2024,3346.00,304
Madelene Upcott,Australia,Raspberry Choco,11/9/2024,6321.00,88
Rafaelita Blaksland,UK,Spicy Special Slims,11/10/2024,9345.00,133
Curtice Advani,UK,Peanut Butter Cubes,11/11/2024,15008.00,165
Kelci Walkden,New Zealand,White Choc,11/12/2024,7609.00,150
Beverie Moffet,Canada,Fruit & Nut Bars,11/13/2024,10332.00,180
Mallorie Waber,India,White Choc,11/14/2024,819.00,213
Brien Boise,UK,Drinking Coco,11/15/2024,5754.00,133
Jehu Rudeforth,India,Peanut Butter Cubes,11/16/2024,28.00,446
Oby Sorrel,USA,Almond Choco,11/17/2024,6440.00,141
Husein Augar,India,Eclairs,11/18/2024,4956.00,58
Brien Boise,UK,Spicy Special Slims,11/19/2024,2352.00,58
Oby Sorrel,Australia,Manuka Honey Choco,11/20/2024,3906.00,76
Beverie Moffet,India,White Choc,11/21/2024,1813.00,296
Ches Bonnell,India,Almond Choco,11/22/2024,11788.00,73
Gigi Bohling,Australia,Smooth Sliky Salty,11/23/2024,5768.00,119
Camilla Castle,USA,85% Dark Bars,11/24/2024,2401.00,78
Camilla Castle,USA,Eclairs,11/25/2024,4515.00,392
Madelene Upcott,New Zealand,White Choc,11/26/2024,10794.00,51
Van Tuxwell,India,After Nines,11/27/2024,13706.00,207
Husein Augar,India,Orange Choco,11/28/2024,4361.00,40
Jehu Rudeforth,India,Almond Choco,11/29/2024,10122.00,100
Karlen McCaffrey,Australia,Raspberry Choco,11/30/2024,994.00,57
Camilla Castle,New Zealand,99% Dark & Pure,12/1/2024,2268.00,42
Gigi Bohling,Australia,Orange Choco,12/2/2024,574.00,156
Kelci Walkden,UK,Drinking Coco,12/3/2024,1792.00,23
Mallorie Waber,Canada,Caramel Stuffed Bars,12/4/2024,4844.00,539
Husein Augar,Australia,Organic Choco Syrup,12/5/2024,938.00,158
Brien Boise,Australia,White Choc,12/6/2024,4879.00,22
Dotty Strutley,India,Peanut Butter Cubes,12/7/2024,9107.00,73
Dennison Crosswaite,UK,99% Dark & Pure,12/8/2024,12187.00,27
Gigi Bohling,New Zealand,50% Dark Bites,12/9/2024,5670.00,64
Gigi Bohling,USA,Milk Bars,12/10/2024,476.00,133
Brien Boise,UK,Caramel Stuffed Bars,12/11/2024,2681.00,149
Curtice Advani,New Zealand,Peanut Butter Cubes,12/12/2024,1533.00,434
Curtice Advani,New Zealand,50% Dark Bites,12/13/2024,9765.00,85
Beverie Moffet,Canada,Drinking Coco,12/14/2024,994.00,118
Barr Faughny,USA,Caramel Stuffed Bars,12/15/2024,3318.00,299
Mallorie Waber,Canada,Almond Choco,12/16/2024,4214.00,35
Oby Sorrel,USA,Drinking Coco,12/17/2024,7714.00,44
Brien Boise,New Zealand,Eclairs,12/18/2024,4690.00,299
Gunar Cockshoot,New Zealand,Choco Coated Almonds,12/19/2024,13062.00,62
Gunar Cockshoot,UK,Spicy Special Slims,12/20/2024,12488.00,200
Curtice Advani,USA,After Nines,12/21/2024,14147.00,235
Oby Sorrel,India,Choco Coated Almonds,12/22/2024,49.00,363
Ches Bonnell,Australia,Peanut Butter Cubes,12/23/2024,10199.00,68
Oby Sorrel,Australia,Spicy Special Slims,12/24/2024,11389.00,26
Jehu Rudeforth,Canada,Manuka Honey Choco,12/25/2024,3584.00,200
Camilla Castle,Canada,Drinking Coco,12/26/2024,12481.00,264
Kaine Padly,USA,Spicy Special Slims,12/27/2024,2107.00,175
Marney O'Breen,New Zealand,70% Dark Bites,12/28/2024,8603.00,352
Roddy Speechley,New Zealand,99% Dark & Pure,12/29/2024,7483.00,183
Oby Sorrel,New Zealand,85% Dark Bars,12/30/2024,3381.00,417
Dotty Strutley,New Zealand,Orange Choco,12/31/2024,2030.00,146
Andria Kimpton,New Zealand,Almond Choco,1/1/2025,6559.00,158
Karlen McCaffrey,Australia,99% Dark & Pure,1/2/2025,10822.00,168
Kaine Padly,UK,After Nines,1/3/2025,18697.00,176
Kaine Padly,Canada,After Nines,1/4/2025,5845.00,172
Kaine Padly,UK,Drinking Coco,1/5/2025,2317.00,224
Rafaelita Blaksland,UK,50% Dark Bites,1/6/2025,10150.00,68
Dotty Strutley,USA,Raspberry Choco,1/7/2025,3437.00,46
Karlen McCaffrey,USA,White Choc,1/8/2025,4592.00,2
Oby Sorrel,USA,Spicy Special Slims,1/9/2025,5691.00,417
Mallorie Waber,Australia,Smooth Sliky Salty,1/10/2025,4158.00,109
Kaine Padly,Canada,Organic Choco Syrup,1/11/2025,5684.00,81
Marney O'Breen,USA,Peanut Butter Cubes,1/12/2025,693.00,350
Dennison Crosswaite,UK,Smooth Sliky Salty,1/13/2025,546.00,142
Brien Boise,Australia,Organic Choco Syrup,1/14/2025,4263.00,264
Beverie Moffet,India,Organic Choco Syrup,1/15/2025,1036.00,20
Dennison Crosswaite,Australia,Baker's Choco Chips,1/16/2025,13846.00,421
Beverie Moffet,UK,50% Dark Bites,1/17/2025,2499.00,271
Van Tuxwell,UK,Almond Choco,1/18/2025,10689.00,204
Dotty Strutley,UK,Caramel Stuffed Bars,1/19/2025,5768.00,235
Wilone O'Kielt,Australia,Smooth Sliky Salty,1/20/2025,2226.00,46
Andria Kimpton,Canada,70% Dark Bites,1/21/2025,10262.00,15
Barr Faughny,UK,Milk Bars,1/22/2025,3864.00,430
Van Tuxwell,Canada,Drinking Coco,1/23/2025,4900.00,709
Jehu Rudeforth,Australia,After Nines,1/24/2025,5250.00,47
Husein Augar,UK,After Nines,1/25/2025,3507.00,380
Barr Faughny,India,Mint Chip Choco,1/26/2025,7413.00,465
Curtice Advani,India,Mint Chip Choco,1/27/2025,8155.00,96
Jehu Rudeforth,New Zealand,Milk Bars,1/28/2025,2478.00,188
Gunar Cockshoot,India,Caramel Stuffed Bars,1/29/2025,2471.00,202
Curtice Advani,UK,Manuka Honey Choco,1/30/2025,1666.00,106
Andria Kimpton,India,Orange Choco,1/31/2025,301.00,421
Mallorie Waber,Australia,Raspberry Choco,2/1/2025,8400.00,27
Beverie Moffet,Canada,85% Dark Bars,2/2/2025,6139.00,45
Kelci Walkden,Australia,Drinking Coco,2/3/2025,1288.00,60
Van Tuxwell,Canada,70% Dark Bites,2/4/2025,7077.00,77
Dennison Crosswaite,USA,Caramel Stuffed Bars,2/5/2025,2317.00,464
Beverie Moffet,New Zealand,Spicy Special Slims,2/6/2025,63.00,60
Jan Morforth,UK,Almond Choco,2/7/2025,9744.00,157
Husein Augar,India,Raspberry Choco,2/8/2025,9954.00,154
Dotty Strutley,India,Mint Chip Choco,2/9/2025,1260.00,239
Camilla Castle,India,Drinking Coco,2/10/2025,469.00,163
Marney O'Breen,UK,Drinking Coco,2/11/2025,973.00,28
Roddy Speechley,Australia,Organic Choco Syrup,2/12/2025,3647.00,76
Ches Bonnell,India,99% Dark & Pure,2/13/2025,455.00,96
Rafaelita Blaksland,Canada,Spicy Special Slims,2/14/2025,2520.00,156
Van Tuxwell,India,Eclairs,2/15/2025,10500.00,106
Gunar Cockshoot,Australia,99% Dark & Pure,2/16/2025,7952.00,235
Kaine Padly,USA,85% Dark Bars,2/17/2025,483.00,259
Camilla Castle,UK,Peanut Butter Cubes,2/18/2025,4872.00,126
Madelene Upcott,UK,Peanut Butter Cubes,2/19/2025,7756.00,85
Madelene Upcott,USA,Choco Coated Almonds,2/20/2025,5446.00,132
Marney O'Breen,Canada,Peanut Butter Cubes,2/21/2025,6594.00,91
Ches Bonnell,Australia,Choco Coated Almonds,2/22/2025,1470.00,167
Curtice Advani,Canada,Eclairs,2/23/2025,721.00,203
Roddy Speechley,India,Drinking Coco,2/24/2025,4494.00,11
Van Tuxwell,Australia,Mint Chip Choco,2/25/2025,2674.00,295
Dennison Crosswaite,USA,70% Dark Bites,2/26/2025,658.00,77
Andria Kimpton,Canada,Peanut Butter Cubes,2/27/2025,1127.00,319
Gigi Bohling,USA,70% Dark Bites,2/28/2025,7364.00,196
Rafaelita Blaksland,Australia,White Choc,3/1/2025,6818.00,102
Roddy Speechley,Canada,Drinking Coco,3/2/2025,6776.00,312
Camilla Castle,New Zealand,85% Dark Bars,3/3/2025,15099.00,55
Madelene Upcott,Canada,Milk Bars,3/4/2025,3612.00,82
Madelene Upcott,Australia,70% Dark Bites,3/5/2025,3710.00,260
Oby Sorrel,Canada,Eclairs,3/6/2025,6111.00,591
Dennison Crosswaite,Canada,Drinking Coco,3/7/2025,2702.00,24
Mallorie Waber,New Zealand,After Nines,3/8/2025,483.00,228
Roddy Speechley,Canada,White Choc,3/9/2025,5887.00,268
Andria Kimpton,India,After Nines,3/10/2025,952.00,68
Roddy Speechley,India,Spicy Special Slims,3/11/2025,10647.00,173
Dotty Strutley,Australia,White Choc,3/12/2025,6055.00,93
Oby Sorrel,Canada,Orange Choco,3/13/2025,8757.00,338
Kaine Padly,Canada,Almond Choco,3/14/2025,6055.00,73
Jan Morforth,UK,Baker's Choco Chips,3/15/2025,721.00,251
Jehu Rudeforth,UK,Fruit & Nut Bars,3/16/2025,8589.00,229
Dennison Crosswaite,USA,Smooth Sliky Salty,3/17/2025,11781.00,91
Brien Boise,USA,Raspberry Choco,3/18/2025,672.00,194
Madelene Upcott,New Zealand,Milk Bars,3/19/2025,12558.00,403
Roddy Speechley,India,50% Dark Bites,3/20/2025,8337.00,12
Barr Faughny,New Zealand,99% Dark & Pure,3/21/2025,8134.00,195
Dennison Crosswaite,Canada,Organic Choco Syrup,3/22/2025,8491.00,75
Beverie Moffet,India,Almond Choco,3/23/2025,3066.00,96
Brien Boise,Australia,Peanut Butter Cubes,3/24/2025,301.00,205
Karlen McCaffrey,Australia,Spicy Special Slims,3/25/2025,4410.00,323
Jehu Rudeforth,USA,White Choc,3/26/2025,6559.00,119
Ches Bonnell,Canada,Organic Choco Syrup,3/27/2025,574.00,217
Dotty Strutley,India,Eclairs,3/28/2025,2086.00,384
Karlen McCaffrey,India,70% Dark Bites,3/29/2025,5075.00,344
Jehu Rudeforth,UK,Mint Chip Choco,3/30/2025,5902.13,178
Van Tuxwell,India,85% Dark Bars,3/31/2025,8074.39,100
Gigi Bohling,India,Peanut Butter Cubes,4/1/2025,4666.18,100
Jan Morforth,Australia,Peanut Butter Cubes,4/2/2025,14103.40,350
Jehu Rudeforth,UK,Peanut Butter Cubes,4/3/2025,14167.84,178
Van Tuxwell,India,Smooth Sliky Salty,4/4/2025,5768.75,37
Oby Sorrel,UK,99% Dark & Pure,4/5/2025,14673.20,175
Gunar Cockshoot,Australia,After Nines,4/6/2025,3249.23,78
Jehu Rudeforth,New Zealand,50% Dark Bites,4/7/2025,4526.24,64
Brien Boise,Australia,99% Dark & Pure,4/8/2025,3166.56,98
Rafaelita Blaksland,UK,Smooth Sliky Salty,4/9/2025,4866.39,65
Barr Faughny,USA,Orange Choco,4/10/2025,4254.37,12
Mallorie Waber,Canada,Eclairs,4/11/2025,1652.61,277
Karlen McCaffrey,New Zealand,Drinking Coco,4/12/2025,171.49,163
Marney O'Breen,New Zealand,Peanut Butter Cubes,4/13/2025,8549.84,169
Beverie Moffet,Australia,Organic Choco Syrup,4/14/2025,7807.74,355
Van Tuxwell,Canada,Organic Choco Syrup,4/15/2025,4561.43,44
Roddy Speechley,USA,Smooth Sliky Salty,4/16/2025,3041.12,148
Beverie Moffet,Canada,Milk Bars,4/17/2025,9786.09,248
Curtice Advani,UK,85% Dark Bars,4/18/2025,1131.25,175
Brien Boise,Australia,Eclairs,4/19/2025,7484.07,94
Gunar Cockshoot,USA,Spicy Special Slims,4/20/2025,1339.61,166
Marney O'Breen,USA,After Nines,4/21/2025,5481.18,159
Husein Augar,UK,Drinking Coco,4/22/2025,3275.40,120
Kaine Padly,Australia,Eclairs,4/23/2025,7677.78,118
Karlen McCaffrey,India,Fruit & Nut Bars,4/24/2025,189.37,315
Roddy Speechley,Canada,Spicy Special Slims,4/25/2025,1658.79,193
Husein Augar,USA,Eclairs,4/26/2025,4168.93,122
Dennison Crosswaite,New Zealand,White Choc,4/27/2025,10604.89,165
Dennison Crosswaite,New Zealand,Manuka Honey Choco,4/28/2025,5773.51,325
Van Tuxwell,New Zealand,85% Dark Bars,4/29/2025,1838.78,121
Rafaelita Blaksland,UK,99% Dark & Pure,4/30/2025,12643.10,150
Wilone O'Kielt,Australia,Manuka Honey Choco,5/1/2025,4439.52,95
Karlen McCaffrey,UK,Almond Choco,5/2/2025,7698.60,126
Andria Kimpton,Canada,After Nines,5/3/2025,2222.30,77
Roddy Speechley,USA,Manuka Honey Choco,5/4/2025,10959.02,302
Andria Kimpton,UK,50% Dark Bites,5/5/2025,2854.85,337
Kelci Walkden,New Zealand,After Nines,5/6/2025,147.82,74
Camilla Castle,Australia,85% Dark Bars,5/7/2025,3790.51,14
Karlen McCaffrey,India,Manuka Honey Choco,5/8/2025,2487.19,583
Kelci Walkden,USA,After Nines,5/9/2025,1021.27,17
Karlen McCaffrey,USA,Raspberry Choco,5/10/2025,15370.06,353
Mallorie Waber,Canada,Choco Coated Almonds,5/11/2025,5345.58,250
Andria Kimpton,India,Spicy Special Slims,5/12/2025,6559.44,154
Madelene Upcott,Canada,Almond Choco,5/13/2025,8282.93,107
Kaine Padly,USA,Peanut Butter Cubes,5/14/2025,6981.40,189
Van Tuxwell,USA,50% Dark Bites,5/15/2025,10280.17,155
Curtice Advani,Australia,Milk Bars,5/16/2025,7703.62,20
Roddy Speechley,India,Eclairs,5/17/2025,4489.81,310
Curtice Advani,India,Fruit & Nut Bars,5/18/2025,5806.11,190
Curtice Advani,Canada,Almond Choco,5/19/2025,5148.70,76
Brien Boise,Australia,Fruit & Nut Bars,5/20/2025,8558.59,24
Dotty Strutley,Australia,Drinking Coco,5/21/2025,94.19,145
Beverie Moffet,USA,Raspberry Choco,5/22/2025,16223.83,87
Marney O'Breen,India,85% Dark Bars,5/23/2025,2439.06,175
Jehu Rudeforth,Canada,Drinking Coco,5/24/2025,466.65,23
Ches Bonnell,New Zealand,Spicy Special Slims,5/25/2025,4044.24,18
Brien Boise,Canada,99% Dark & Pure,5/26/2025,17675.28,446
Barr Faughny,Australia,Fruit & Nut Bars,5/27/2025,17280.98,58
Andria Kimpton,Australia,50% Dark Bites,5/28/2025,5091.78,219
Andria Kimpton,Australia,Drinking Coco,5/29/2025,1657.20,49
Marney O'Breen,Australia,Organic Choco Syrup,5/30/2025,305.79,189
Kelci Walkden,Canada,Baker's Choco Chips,5/31/2025,3377.41,325
Karlen McCaffrey,India,Almond Choco,6/1/2025,6188.62,157
Oby Sorrel,India,99% Dark & Pure,6/2/2025,10914.36,11
Wilone O'Kielt,Australia,Caramel Stuffed Bars,6/3/2025,2342.07,12
Van Tuxwell,Australia,Organic Choco Syrup,6/4/2025,21762.80,15
Camilla Castle,India,50% Dark Bites,6/5/2025,10539.54,398
Oby Sorrel,India,Organic Choco Syrup,6/6/2025,6665.87,60
Jan Morforth,USA,Peanut Butter Cubes,6/7/2025,9605.11,98
Gigi Bohling,USA,Choco Coated Almonds,6/8/2025,13018.00,103
Gigi Bohling,UK,Almond Choco,6/9/2025,6046.40,10
Jehu Rudeforth,New Zealand,White Choc,6/10/2025,3078.33,231
Andria Kimpton,New Zealand,Peanut Butter Cubes,6/11/2025,970.96,291
Van Tuxwell,UK,Organic Choco Syrup,6/12/2025,2064.71,208
Roddy Speechley,Canada,Milk Bars,6/13/2025,679.94,34
Camilla Castle,USA,Spicy Special Slims,6/14/2025,1311.25,251
Marney O'Breen,USA,Orange Choco,6/15/2025,8692.64,184
Van Tuxwell,UK,99% Dark & Pure,6/16/2025,4993.21,145
Camilla Castle,USA,White Choc,6/17/2025,10898.19,24
Andria Kimpton,USA,Raspberry Choco,6/18/2025,15565.91,21
Dotty Strutley,Australia,Fruit & Nut Bars,6/19/2025,280.59,328
Brien Boise,New Zealand,Mint Chip Choco,6/20/2025,66.35,197
Roddy Speechley,New Zealand,After Nines,6/21/2025,8766.45,10
Roddy Speechley,Canada,Organic Choco Syrup,6/22/2025,4265.48,85
Dennison Crosswaite,Australia,70% Dark Bites,6/23/2025,6087.53,113
Karlen McCaffrey,USA,Orange Choco,6/24/2025,11694.48,425
Madelene Upcott,Australia,Spicy Special Slims,6/25/2025,7616.38,392
Dennison Crosswaite,Australia,85% Dark Bars,6/26/2025,7807.02,419
Andria Kimpton,Canada,Caramel Stuffed Bars,6/27/2025,7990.91,343
Dennison Crosswaite,UK,Eclairs,6/28/2025,6757.17,276
Madelene Upcott,India,Raspberry Choco,6/29/2025,4409.21,10
Van Tuxwell,USA,After Nines,6/30/2025,722.25,255
Wilone O'Kielt,Australia,Organic Choco Syrup,7/1/2025,1896.24,115
Karlen McCaffrey,Canada,50% Dark Bites,7/2/2025,2966.83,65
Roddy Speechley,New Zealand,Orange Choco,7/3/2025,51.29,100
Beverie Moffet,Australia,Eclairs,7/4/2025,1835.42,6
Kelci Walkden,UK,Fruit & Nut Bars,7/5/2025,14592.11,509
